timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785152911380,75,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-17,text,true,,1060,139,19,19,https://studyflow-frontend-hace.onrender.com/,75,0,44
1785152911917,70,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-11,text,true,,1060,139,19,19,https://studyflow-frontend-hace.onrender.com/,70,0,44
1785152911960,74,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-17,text,true,,251725,163,19,19,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,34,0,0
1785152907807,4606,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-49,text,true,,844153,431,19,19,https://studyflow-assignment2-backend.onrender.com/api/tasks,4522,0,0
1785152912489,69,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-11,text,true,,251717,163,19,19,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,29,0,0
1785152909899,2806,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-50,text,true,,14189,433,19,19,https://studyflow-assignment2-backend.onrender.com/api/courses,2806,0,0
1785152906617,6199,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-40,text,true,,844146,431,19,19,https://studyflow-assignment2-backend.onrender.com/api/tasks,6126,0,0
1785152912918,28,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-49,text,true,,1060,139,19,19,https://studyflow-frontend-hace.onrender.com/,28,0,0
1785152913322,74,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-40,text,true,,1060,139,19,19,https://studyflow-frontend-hace.onrender.com/,74,0,44
1785152908116,5350,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-23,text,true,,844154,431,19,19,https://studyflow-assignment2-backend.onrender.com/api/tasks,5281,0,0
1785152913448,40,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-49,text,true,,251725,163,19,19,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,29,0,0
1785152913902,78,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-40,text,true,,251725,163,19,19,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,37,0,0
1785152913970,29,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-23,text,true,,1060,139,19,19,https://studyflow-frontend-hace.onrender.com/,29,0,0
1785152914504,42,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-23,text,true,,251725,163,19,19,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,30,0,0
1785152910100,4614,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-47,text,true,,844146,431,19,19,https://studyflow-assignment2-backend.onrender.com/api/tasks,4544,0,0
1785152910100,5022,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-14,text,true,,844146,431,19,19,https://studyflow-assignment2-backend.onrender.com/api/tasks,4946,0,0
1785152915219,71,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-47,text,true,,1060,139,18,18,https://studyflow-frontend-hace.onrender.com/,71,0,46
1785152909757,5854,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-44,text,true,,844147,431,18,18,https://studyflow-assignment2-backend.onrender.com/api/tasks,5849,0,0
